Transaction County,sum_number_of_registrations
Asotin,1806.00
Jefferson,1104.00
Klickitat,1579.00
Grant,5194.00
Lincoln,870.00
Cowlitz,13404.00
Wahkiakum,285.00
Okanogan,2126.00
Grays Harbor,2829.00
Pierce,68224.00
Spokane,55421.00
Kittitas,2950.00
Columbia,324.00
Walla Walla,3821.00
Department of Licensing - HQ,673.00
Skamania,1437.00
Franklin,10404.00
Ferry,189.00
Whitman,3240.00
Clark,65483.00
Kitsap,30003.00
Pacific,1563.00
Thurston,35261.00
Clallam,4297.00
Adams,684.00
King,189963.00
Island,3304.00
Skagit,11734.00
Mason,1937.00
Stevens,3117.00
Douglas,1686.00
Lewis,3005.00
Whatcom,16321.00
Pend Oreille,984.00
Garfield,150.00
San Juan,524.00
Chelan,5894.00
Yakima,14621.00
Benton,16043.00
Snohomish,75779.00
